id,homeTeam,homeScore,awayTeam,awayScore,lineProvider,overUnder,spread,formattedSpread,openingSpread,openingOverUnder,homeMoneyline,awayMoneyline
401331161,Louisiana,24,Appalachian State,16,teamrankings,52.5,2.5,Appalachian State -2.5,,,,
401331160,Northern Illinois,41,Kent State,23,Bovada,75.5,4.0,Kent State -4.0,2.0,72.0,135,-160
401331160,Northern Illinois,41,Kent State,23,William Hill (New Jersey),75.5,3.5,Kent State -3.5,,,,
401331160,Northern Illinois,41,Kent State,23,consensus,75.5,4,Kent State -4,,,,
401331160,Northern Illinois,41,Kent State,23,teamrankings,75.5,3.5,Kent State -3.5,,,,
401287953,Oklahoma State,16,Baylor,21,William Hill (New Jersey),45,-7,Oklahoma State -7,,,,
401287953,Oklahoma State,16,Baylor,21,Bovada,45.5,-7.0,Oklahoma State -7.0,-6.5,48.0,-275,225
401287953,Oklahoma State,16,Baylor,21,consensus,45,-7,Oklahoma State -7,,,,
401287953,Oklahoma State,16,Baylor,21,teamrankings,45,-7,Oklahoma State -7,,,,
401331162,Cincinnati,35,Houston,20,Bovada,52.5,-10.5,Cincinnati -10.5,-10.0,55.5,-415,310
401331162,Cincinnati,35,Houston,20,William Hill (New Jersey),52.5,-10.5,Cincinnati -10.5,,,,
401331162,Cincinnati,35,Houston,20,consensus,52.5,-10.5,Cincinnati -10.5,,,,
401331162,Cincinnati,35,Houston,20,teamrankings,52.5,-10.5,Cincinnati -10.5,,,,
401310676,San Diego State,13,Utah State,46,Bovada,49.5,-6.0,San Diego State -6.0,-4.0,50.5,-230,190
401310676,San Diego State,13,Utah State,46,William Hill (New Jersey),49.5,-6.5,San Diego State -6.5,,,,
401310676,San Diego State,13,Utah State,46,consensus,49.5,-6.5,San Diego State -6.5,,,,
401310676,San Diego State,13,Utah State,46,teamrankings,49.5,-6.5,San Diego State -6.5,,,,
401310718,Boise State,17,Air Force,24,Bovada,52.0,-3.5,Boise State -3.5,-6.0,50.5,-170,145
401310718,Boise State,17,Air Force,24,William Hill (New Jersey),52,-3,Boise State -3,,,,
401310718,Boise State,17,Air Force,24,consensus,52,-3,Boise State -3,,,,
401310718,Boise State,17,Air Force,24,teamrankings,52,-3,Boise State -3,,,,
401309573,Toledo,34,Western Michigan,15,Bovada,54.5,1.5,Western Michigan -1.5,3.0,54.5,105,-125
401309573,Toledo,34,Western Michigan,15,William Hill (New Jersey),54.5,1.5,Western Michigan -1.5,,,,
401309573,Toledo,34,Western Michigan,15,consensus,54.5,1.5,Western Michigan -1.5,,,,
401309573,Toledo,34,Western Michigan,15,teamrankings,54.5,1.5,Western Michigan -1.5,,,,
401309642,Troy,7,Appalachian State,45,Bovada,51.5,10.0,Appalachian State -10.0,10.0,51.5,280,-360
401309642,Troy,7,Appalachian State,45,William Hill (New Jersey),51.5,10,Appalachian State -10,,,,
401309642,Troy,7,Appalachian State,45,consensus,51.5,9.5,Appalachian State -9.5,,,,
401309642,Troy,7,Appalachian State,45,teamrankings,51,10,Appalachian State -10,,,,
401309910,USC,31,BYU,35,Bovada,65.0,7.0,BYU -7.0,7.0,64.5,210,-250
401309910,USC,31,BYU,35,William Hill (New Jersey),65.5,8.5,BYU -8.5,,,,
401309910,USC,31,BYU,35,consensus,65.5,8.5,BYU -8.5,,,,
401309910,USC,31,BYU,35,teamrankings,65.5,8.5,BYU -8.5,,,,
401310752,Air Force,48,UNLV,14,Bovada,49.5,-18.0,Air Force -18.0,-18.0,49.5,-1000,625
401310752,Air Force,48,UNLV,14,William Hill (New Jersey),49.5,-18.5,Air Force -18.5,,,,
401310752,Air Force,48,UNLV,14,consensus,49.5,-18.5,Air Force -18.5,,,,
401310752,Air Force,48,UNLV,14,teamrankings,49.5,-18.5,Air Force -18.5,,,,
401310754,Colorado State,10,Nevada,52,Bovada,57.5,3.0,Nevada -3.0,6.0,55.5,155,-180
